Time_b,Close
2020-07-22 13:30:00,387.94000244140625
2020-07-22 13:31:00,388.3500061035156
2020-07-22 13:32:00,388.80670166015625
2020-07-22 13:33:00,389.4599914550781
2020-07-22 13:34:00,389.0899963378906
2020-07-22 13:35:00,388.1300048828125
2020-07-22 13:36:00,387.4100036621094
2020-07-22 13:37:00,387.1199951171875
2020-07-22 13:38:00,387.32000732421875
2020-07-22 13:39:00,387.8800048828125
2020-07-22 13:40:00,388.1499938964844
2020-07-22 13:41:00,387.6300048828125
2020-07-22 13:42:00,387.92401123046875
2020-07-22 13:43:00,387.6099853515625
2020-07-22 13:44:00,387.79998779296875
2020-07-22 13:45:00,388.80999755859375
2020-07-22 13:46:00,388.93499755859375
2020-07-22 13:47:00,388.7099914550781
2020-07-22 13:48:00,388.6997985839844
2020-07-22 13:49:00,388.8876953125
2020-07-22 13:50:00,389.75
2020-07-22 13:51:00,389.6000061035156
2020-07-22 13:52:00,389.65728759765625
2020-07-22 13:53:00,390.7052001953125
2020-07-22 13:54:00,390.510009765625
2020-07-22 13:55:00,390.7799987792969
2020-07-22 13:56:00,391.0199890136719
2020-07-22 13:57:00,390.57000732421875
2020-07-22 13:58:00,390.78271484375
2020-07-22 13:59:00,390.6300048828125
2020-07-22 14:00:00,390.82000732421875
2020-07-22 14:01:00,390.9917907714844
2020-07-22 14:02:00,391.08819580078125
2020-07-22 14:03:00,391.3999938964844
2020-07-22 14:04:00,391.2799987792969
2020-07-22 14:05:00,391.69000244140625
2020-07-22 14:06:00,391.5173034667969
2020-07-22 14:07:00,391.239990234375
2020-07-22 14:08:00,390.79998779296875
2020-07-22 14:09:00,391.0
2020-07-22 14:10:00,391.472900390625
2020-07-22 14:11:00,391.07000732421875
2020-07-22 14:12:00,390.5899963378906
2020-07-22 14:13:00,390.3999938964844
2020-07-22 14:14:00,390.68011474609375
2020-07-22 14:15:00,390.92999267578125
2020-07-22 14:16:00,390.5400085449219
2020-07-22 14:17:00,390.82000732421875
2020-07-22 14:18:00,390.8500061035156
2020-07-22 14:19:00,390.80999755859375
2020-07-22 14:20:00,390.5799865722656
2020-07-22 14:21:00,390.2699890136719
2020-07-22 14:22:00,390.29998779296875
2020-07-22 14:23:00,390.3699951171875
2020-07-22 14:24:00,390.4093933105469
2020-07-22 14:25:00,390.19000244140625
2020-07-22 14:26:00,389.80999755859375
2020-07-22 14:27:00,389.8599853515625
2020-07-22 14:28:00,389.5400085449219
2020-07-22 14:29:00,389.4599914550781
2020-07-22 14:30:00,389.37359619140625
2020-07-22 14:31:00,389.875
